hem,,1,1
oss,1,1
narig.,1,0
telefon,1,1
vill,2,2
andra,1,1
imorgon!,1,0
sega,1,1
stå?,1,0
mycket),1,1
heller,1,1
Ipod,,1,1
fortfarande,1,1
där,2,2
hamnar,1,1
jättebra:),1,1
gör,2,3
nästa,1,1
dagen?,1,0
ta,2,2
pälsmössa.,1,0
länge,1,1
förstår,1,1
tjäna,1,1
importerat,1,1
Vad,0,1
osv,1,1
längre,2,2
cool,1,1
alls.,1,0
Protocol,1,1
säte,1,1
balansera,1,1
tre,1,1
mig.,1,0
upp,3,3
Dingle-ettor,,1,1
något,1,1
hamsterbur,1,1
massor,1,1
sån,1,1
också,1,1
Var,0,1
gå,2,2
regnet.,1,0
länge.,1,0
Har,0,2
håller,1,1
känna,1,1
praktik,1,1
Haha...,0,0
första,1,1
färdbeviset,1,1
Speciellt,0,1
gamla,1,1
förrgår,1,1
Äsch,,0,1
med,11,10
full,1,1
regnar.,1,0
smittat,1,1
morgonen...say,1,1
men,3,3
dig?”,1,1
extremt,1,1
lilla,1,1
också,,2,2
mer,1,1
människor,1,1
snytit,1,1
precis,1,1
lufthål,1,1
kära,1,1
längre.,1,0
Ridklubb,1,1
säten.,1,0
vid,1,1
extra,1,1
emot,1,2
bussen,1,1
snabb.,1,0
klagar.,1,0
Tom,1,1
månader.,1,0
Vem,0,1
bra,1,1
akvarium.,1,0
fem,1,1
sprida,1,1
sitter,2,4
Hur,0,3
ej,,1,1
kanske,3,3
heller.,1,0
henne?,1,0
generation.....),1,1
pälsmössedamen,1,1
lov.,1,0
nissarna,1,1
varit,3,3
kvar,1,1
springer,1,1
this,1,1
slutade,1,1
det,14,16
rida,1,1
sociala,1,1
den,8,8
något.,1,0
så,12,12
tar,2,2
Min,0,1
platsen,2,2
tag,1,1
gäller,1,1
stället,1,1
tal,1,1
Lovely,0,1
Dessutom,0,1
wifi.,1,0
hon,4,5
bege,1,1
Dell,1,1
1,1,1
till,6,6
gillar,1,1
sig,1,1
hos,1,1
dåligt,1,1
slagsmål.,1,0
Ghost,1,1
fram,1,1
mittgången.,1,0
vaknade,1,1
lördags,1,1
hamsterhus,1,1
7-10,1,1
Så,0,1
man,4,4
a,1,1
katter.,1,0
läraren,1,1
flyttar,1,1
innebär,1,1
kroppsarbete,,1,1
Och,0,3
Plötsligt,0,1
Interesting,0,1
ganska,1,1
antingen,1,1
storfilmer.,1,0
vara,2,2
kille!,1,0
Jag,0,8
Gud,0,1
ledsen,1,1
allt,3,3
damen.,1,0
hoppas,1,1
gått,1,1
cpallergisk,1,1
startar,1,1
dag,1,1
dem,1,1
dam,1,1
nog,1,1
plastlåda,1,1
Precis,0,1
dock,1,1
välja,1,1
mår,1,1
sova,1,2
köpa,2,2
fullt,1,1
Till,0,1
revben,,1,1
komma,1,1
sin,1,1
skrivit,1,1
denna,2,2
sida,1,1
Sounds,0,1
jag?,1,0
en,9,10
bums,1,1
medier,1,1
flytta,2,2
fredag!,1,0
aldrig,2,2
hästarna,1,1
(ägaren),1,1
Därför,0,1
Nu,0,2
nätlock!).,1,0
träning,1,1
bilder,1,1
väldigt,1,1
träningsväskan,1,1
rätt,1,1
röd,,1,1
tillslut,1,1
byta,2,2
vågade,1,1
En,0,1
svarade,1,1
bredvid,3,2
häftigt,1,1
att,16,13
sova,,1,1
helst,1,1
ville,1,1
stående,1,1
bland,1,1
uppstår.,1,0
dig!,1,0
fifflar,1,1
kom,2,2
fyra,1,1
Då,0,1
ingen,1,1
2,2,2
inget,1,1
tom,1,1
utbryter,1,1
hud,1,1
(Är,0,1
toppen.,1,0
hur,1,1
Imorgon,0,1
både,1,1
bröt,1,1
lovet,1,1
vecka,3,3
mina,1,1
lyser,1,1
blir,3,2
Torp,1,1
idag,1,1
klockan,1,1
imponerad,1,1
lärt,1,1
Alltid,0,1
min,4,4
-,3,3
mig,9,9
henne,1,1
promenader,1,1
genast,1,1
dilemmat,1,1
måste,1,1
eheh.,1,0
gillade,1,1
kan,4,4
detta,1,1
plan,1,1
sedan,3,3
tid.,1,0
eftersom,2,2
medan,1,1
stå,1,1
självaste,1,1
tanterna,1,1
D:,1,1
helt,3,3
kvar.,1,0
Ska,0,2
kroppskontakt.,1,0
På,1,2
tror,2,1
damen,1,1
och,36,37
mittgångskompisar,1,1
känns,1,1
tills,1,1
fortare.,1,0
sätet,1,1
taget.,1,0
jag,29,30
luktar?,1,0
ridbyxor,,1,1
kortbetalning,1,1
ljudboken,1,1
Första,1,1
de,2,2
avslutande,1,1
stor,1,1
inklusive,1,1
plats,1,1
du,1,1
hunnit,2,2
runt,3,3
åka,1,1
vilket,1,1
situation.,1,0
Impossible,1,1
ser,2,1
butiker,1,1
skulle,3,3
inspelningen,1,1
bara,3,3
Dahle,1,2
lediga,1,1
tittande,1,1
barnlägret,1,1
Gård.,1,0
klockan.,1,0
sista,1,1
korna,1,1
Cruise.,1,0
tilltalande,1,1
för,4,4
man.,1,0
då,1,1
nös,1,1
vecka.,1,0
godis.,1,0
svängarna,1,1
wierd.,1,0
mellan,1,1
nu.,1,0
nu,,2,2
bestämma,1,1
klaga,1,1
ett,3,3
trivs,1,1
tycker,2,2
rädsla,1,1
ridigt,1,1
kommer,1,1
sedan”,,1,1
Nej.,0,0
väl,1,1
svensk,3,3
lite,3,3
borta,1,1
gissar,1,1
också!,1,0
Frida,1,2
sväng,1,1
veckor,,1,1
själv,1,1
veckor.,1,0
Alla,1,2
trevligt,1,1
trillar,1,1
bussen.,2,0
knappt,1,1
igen,1,1
Är,0,1
”Nu,0,1
Maritha,2,2
plats?,1,0
idag,,1,1
idag.,1,0
Liiite,0,1
packa,1,1
axel,,1,1
kvinnan,1,1
plats.,1,0
länge!,1,0
bild,1,1
svullen,1,1
lägger,1,1
Bussen,0,1
dam.,1,0
när,7,3
ändå,1,1
vi,6,7
personligt.,1,0
världsomfattande,1,1
in,2,2
haha...kul,1,1
liknande,1,1
gången,1,1
Kanske,0,4
wuuut.,1,0
vänster,1,1
veckan.,1,0
iväg,1,1
på,22,20
stuntman,1,1
omkring,1,1
Hinner,0,1
några,4,4
går,1,1
av?,1,0
Okej,,0,1
nio,2,2
roligt,1,1
plugg,1,1
får,4,4
är,15,16
igår,1,1
slåss,1,1
gjorde,1,1
moder,1,1
i,11,12
Vi,0,3
sprängdes,1,1
halva,2,2
person,1,1
vet,1,1
(Där,1,1
undvika,1,1
dagar,3,3
Gård,1,2
haha!,1,0
titta?,1,0
Igår,0,1
någonstans,1,1
använda,1,1
sådär,2,2
(Oh,0,1
känner,1,1
två,2,2
Fridas,1,1
Inatt,0,1
släde,,1,1
dålig,1,1
han,2,3
det.,1,0
turer.,1,0
huvud,1,1
ska,9,7
4,1,1
fyller,1,1
bryr,1,1
har,12,13
Om,0,1
hennes,1,1
mesta,1,1
utan,1,1
Tre,0,1
tittar,1,1
mot,1,1
kör,2,2
misstänkte.,1,0
sådan,1,1
När,0,1
innan,1,1
kortisdag,1,1
lika,1,1
like,1,1
Hennes,0,1
mycket,2,2
Frida,,1,1
jobbat,1,1
finns,1,1
Kul,0,1
koll,1,1
”Ursäkta,0,1
Men,0,4
sitta,1,1
be,1,1
mitt,1,1
genom,1,1
Hähähä.,0,0
slut,1,1
rumpa,1,1
där.,1,0
annat,1,1
om,3,3
här,2,2
dag,,1,1
km,,1,1
olikt,1,1
korta,1,1
såra,1,1
tittade,1,1
Färgelanda,1,1
inte,8,13
Fredag,1,1
jag.,1,0
snackat,1,1
jag!,1,0
som,13,12
känner.,1,0
Lite,0,1
Luftslottet,1,1
stressad,1,1
gärna,2,2
kanske.,1,0
Idag,0,1
lov,1,1
somnade,1,1
var,2,2
hem,2,2
över,3,3
kolla,1,1
osynligt,1,1
Apoteket,1,1
9,1,1
dagen,1,1
kunde,1,1
upphöjda,1,1
artigt,1,1
Det,1,1
Obekväm,0,1
ha,1,1
tänker,1,1
fader,1,1
reser,1,1
ut,3,3
omringas,1,1
eviga,1,1
svinförkyld,1,1
Milleniumserien,,1,1
va?,2,0
Cruise,1,1
eh.,1,0
fick,1,1
minuter,1,1
elva.,2,0
utelåst.,1,0
Bauhaus,1,1
efter,3,3
Stannar-skylten,0,1
ibland,1,1
av,5,5
veckorna,1,1
Några,0,1
folksamlingen,1,1
först.,1,0
eller,3,3
sicksackar,1,1
först?,1,0
haft,1,1
äldre,1,1
nu,8,7
godkänt,,1,1
hittade,1,1
sjätte,1,1
skådespelare,1,1
nästan,2,2
täckning,1,1
puss,1,1
evening.,1,0
fåren,1,1
Mission,1,1
hela,1,1
Well,,0,1
